hgnc_id,hgnc_symbol,con,go_con,gene_con,rel_go,frac_rel_go
6847,MAP2K7,26,18,8,10,0.556
6174,ITM2B,19,11,8,6,0.545
2184,COIL,21,13,8,7,0.538
9280,PPOX,14,6,8,3,0.5
1136,BTN2A1,12,4,8,2,0.5
26032,LPCAT2,15,7,8,3,0.429
12461,UBAP1,16,8,8,3,0.375
12016,TPP2,14,6,8,2,0.333
195,ADAM17,57,49,8,16,0.327
4044,FZD6,18,10,8,3,0.3
30887,TRAPPC2L,15,7,8,2,0.286
21109,FAM120B,12,4,8,1,0.25
29175,WDTC1,12,4,8,1,0.25
17063,RAB3GAP1,28,20,8,3,0.15
11131,SNAP23,26,18,8,2,0.111
16667,TMEM30A,21,13,8,1,0.077
18262,MFN1,20,12,8,0,0
14539,RNF213,21,13,8,0,0
30958,ZNF622,21,13,8,0,0
15862,SMOX,15,7,8,0,0
11135,SNAPC2,11,3,8,0,0
14422,BBX,14,7,7,7,1
13507,ZNF317,12,5,7,5,1
8829,PELO,12,5,7,5,1
13057,ZNF264,12,5,7,5,1
27815,ZNF707,11,4,7,4,1
7683,NDUFA1,11,4,7,4,1
14579,VPS45,11,4,7,4,1
21460,MIPOL1,10,3,7,3,1
23571,COBLL1,9,2,7,2,1
26800,C1orf216,8,1,7,1,1
11818,TIMM8B,8,1,7,1,1
14372,SCYL1,15,8,7,7,0.875
7821,NID1,14,7,7,6,0.857
20588,PCYOX1,13,6,7,5,0.833
13554,ATP11C,18,11,7,9,0.818
12936,ZBTB17,22,15,7,12,0.8
16862,RAPGEF5,12,5,7,4,0.8
29620,ZCRB1,11,4,7,3,0.75
21561,CEP57L1,11,4,7,3,0.75
3494,ETV5,21,14,7,10,0.714
25980,TRMT1,12,5,7,3,0.6
20466,SMC6,24,17,7,10,0.588
17641,DCLRE1B,24,17,7,10,0.588
20763,ANKFY1,23,16,7,9,0.562
31675,YTHDF2,22,15,7,8,0.533
30389,EXOC4,19,12,7,6,0.5
16259,MAML2,13,6,7,3,0.5
9797,RABIF,13,6,7,3,0.5
19876,EPC1,22,15,7,7,0.467
3012,DPYD,20,13,7,6,0.462
5193,HS2ST1,12,5,7,2,0.4
4907,HIBADH,12,5,7,2,0.4
28467,FAAP24,12,5,7,2,0.4
14490,MRPL36,12,5,7,2,0.4
13664,MACF1,29,22,7,8,0.364
17720,SGPP1,13,6,7,2,0.333
8811,PDK3,22,15,7,4,0.267
24042,WWTR1,26,19,7,5,0.263
248,PLIN2,12,5,7,1,0.2
29062,C2CD5,21,14,7,2,0.143
10023,RIT1,14,7,7,1,0.143
11984,TOM1L2,15,8,7,1,0.125
1078,BMPR2,44,37,7,1,0.027
1082,BNIP1,20,13,7,0,0
9675,PTPRM,28,21,7,0,0
28337,C9orf72,35,28,7,0,0
941,BAG5,27,20,7,0,0
16859,NOS1AP,13,6,7,0,0
598,APLP2,12,5,7,0,0
13718,FOSL1,15,9,6,9,1
4879,HEXB,14,8,6,8,1
18595,HIC2,13,7,6,7,1
13004,ZNF212,12,6,6,6,1
890,AUH,10,4,6,4,1
26006,TTC19,10,4,6,4,1
10580,SCML1,10,4,6,4,1
11694,DYNLT3,10,4,6,4,1
5004,HMGB3,10,4,6,4,1
24560,CCDC9,8,2,6,2,1
17928,PSMC3IP,8,2,6,2,1
10757,SERF2,7,1,6,1,1
30281,RGL1,7,1,6,1,1
3319,ELF4,19,13,6,12,0.923
2720,ASAP1,14,8,6,7,0.875
33279,ATXN1L,12,6,6,5,0.833
1103,BRD2,16,10,6,8,0.8
17931,SERTAD3,11,5,6,4,0.8
2938,DMXL2,11,5,6,4,0.8
15867,YTHDF1,15,9,6,7,0.778
29187,SETD1B,15,9,6,7,0.778
12500,UBE4B,14,8,6,6,0.75
25694,TBC1D15,10,4,6,3,0.75
29004,ZNF646,10,4,6,3,0.75
26994,INO80C,10,4,6,3,0.75
7135,AFF1,10,4,6,3,0.75
25769,KRI1,10,4,6,3,0.75
30025,PPRC1,13,7,6,5,0.714
25518,YJU2,9,3,6,2,0.667
19016,TRIM44,17,11,6,7,0.636
3225,EFNA5,19,13,6,8,0.615
19239,SYT11,25,19,6,10,0.526
12611,USP13,28,22,6,11,0.5
24721,YTHDC2,18,12,6,6,0.5
26428,FAAP20,18,12,6,6,0.5
25529,WDR74,14,8,6,4,0.5
28957,EMC1,14,8,6,4,0.5
9121,PMS1,12,6,6,3,0.5
29144,EHBP1,12,6,6,3,0.5
28948,TMEM41B,10,4,6,2,0.5
11442,STX7,37,31,6,15,0.484
17175,PLCE1,25,19,6,8,0.421
10293,RPE,18,12,6,5,0.417
24303,RBM15B,18,12,6,5,0.417
3233,MEGF8,16,10,6,4,0.4
190,ADAM12,11,5,6,2,0.4
327,AGPS,14,8,6,3,0.375
16230,ZCCHC3,14,8,6,2,0.25
18533,USP48,14,8,6,2,0.25
11319,ITPRID2,10,4,6,1,0.25
6710,LTA4H,20,14,6,0,0
656,ARL4D,12,6,6,0,0
18798,SLC44A1,16,10,6,0,0
28977,IST1,27,21,6,0,0
8140,OPA1,35,29,6,0,0
13949,FKBPL,8,2,6,0,0
226,ADARB1,24,18,6,0,0
2255,CORO2A,9,3,6,0,0
23158,PNRC2,12,6,6,0,0
21529,TM9SF3,8,2,6,0,0
17217,DIP2A,10,4,6,0,0
70,ABCF1,11,5,6,0,0
15625,NBAS,12,7,5,7,1
25736,ZNF669,11,6,5,6,1
8822,PEA15,10,5,5,5,1
22213,ZNF777,10,5,5,5,1
26166,ZNF574,9,4,5,4,1
4139,GANC,9,4,5,4,1
29046,FBXO28,9,4,5,4,1
4929,ZSCAN22,9,4,5,4,1
24615,EEF2K,8,3,5,3,1
18308,TMLHE,8,3,5,3,1
28796,MRFAP1L1,7,2,5,2,1
19667,WDR20,6,1,5,1,1
13075,ZNF281,20,15,5,14,0.933
23239,ZNF473,13,8,5,7,0.875
6824,MAN2A1,12,7,5,6,0.857
25714,CCDC51,10,5,5,4,0.8
19398,PGBD1,10,5,5,4,0.8
9347,PRDM2,17,12,5,9,0.75
29118,TMEM63A,13,8,5,6,0.75
25712,PGAP1,9,4,5,3,0.75
7712,NDUFS5,9,4,5,3,0.75
3492,ETV3,12,7,5,5,0.714
7449,MTMR1,12,7,5,5,0.714
21308,ELOVL5,18,13,5,9,0.692
2527,CTSB,21,16,5,11,0.688
28984,WASHC5,14,9,5,6,0.667
17304,TAF5L,14,9,5,6,0.667
25521,SRBD1,8,3,5,2,0.667
25035,YOD1,22,17,5,11,0.647
23366,ARPC5L,13,8,5,5,0.625
10994,SLC26A2,13,8,5,5,0.625
11447,STYX,15,10,5,6,0.6
26934,NOP16,10,5,5,3,0.6
8992,PIN4,10,5,5,3,0.6
17057,CARD8,26,21,5,12,0.571
7506,MTX2,12,7,5,4,0.571
25539,RFWD3,21,16,5,9,0.562
29675,CLCC1,11,6,5,3,0.5
13621,SLC6A15,11,6,5,3,0.5
15597,HPS3,9,4,5,2,0.5
30898,AVPI1,7,2,5,1,0.5
12962,TRIM26,14,9,5,4,0.444
245,ADD3,10,5,5,2,0.4
33451,CCDC137,10,5,5,2,0.4
23088,SLC10A7,18,13,5,5,0.385
17151,ORC6,13,8,5,3,0.375
21610,LNPK,16,11,5,4,0.364
23711,REEP3,14,9,5,3,0.333
12790,GET1,8,3,5,1,0.333
13632,MAML1,18,13,5,4,0.308
7754,NEO1,12,7,5,2,0.286
3574,FADS1,12,7,5,2,0.286
11580,TBCC,13,8,5,2,0.25
675,ARHGAP5,9,4,5,1,0.25
1106,BABAM2,20,15,5,3,0.2
1507,CASP6,17,12,5,2,0.167
29271,ZNFX1,8,3,5,0,0
13008,ZFAND5,6,1,5,0,0
29670,GNPTAB,12,7,5,0,0
12393,TTC3,13,8,5,0,0
8967,PIGN,11,6,5,0,0
12947,ZNF16,19,14,5,0,0
5130,HOXC9,16,11,5,0,0
24671,FLAD1,11,6,5,0,0
29520,GPBP1,11,6,5,0,0
13831,WDR11,17,12,5,0,0
10057,RNF13,15,10,5,0,0
20908,DZIP1,15,10,5,0,0
18267,FMNL2,13,8,5,0,0
24936,EEF1AKMT3,16,11,5,0,0
14897,ITPKC,12,7,5,0,0
33772,LAMTOR4,15,10,5,0,0
13518,CLIC4,26,21,5,0,0
1753,CDH13,42,37,5,0,0
12340,TRPS1,16,11,5,0,0
10731,SEMA4C,18,13,5,0,0
16854,RAPGEF2,43,38,5,0,0
24275,SCCPDH,12,7,5,0,0
29402,RNF157,14,9,5,0,0
1099,BRAP,19,14,5,0,0
18559,TFB2M,13,9,4,9,1
13068,ZNF274,12,8,4,8,1
20270,C14orf119,7,3,4,3,1
29289,RELCH,7,3,4,3,1
25657,BCORL1,6,2,4,2,1
28201,TMEM128,5,1,4,1,1
19003,SCMH1,9,5,4,4,0.8
3501,EVI5,12,8,4,6,0.75
2977,TRDMT1,8,4,4,3,0.75
7963,NR1D2,15,11,4,8,0.727
26022,TRMT10C,22,18,4,13,0.722
16006,CSRNP2,11,7,4,5,0.714
15629,B3GNT2,11,7,4,5,0.714
10295,RPGR,11,7,4,5,0.714
6780,MAFF,16,12,4,8,0.667
4019,FUT8,13,9,4,6,0.667
28332,CCDC12,7,3,4,2,0.667
27829,DPY19L4,7,3,4,2,0.667
22211,ESYT2,18,14,4,9,0.643
16398,OSBPL1A,15,11,4,7,0.636
13553,ATP11B,12,8,4,5,0.625
4371,GMEB2,12,8,4,5,0.625
5129,HOXC8,12,8,4,5,0.625
20814,ZNF436,12,8,4,5,0.625
25829,ABRAXAS1,17,13,4,8,0.615
18967,EDEM1,14,10,4,6,0.6
23498,CPNE8,9,5,4,3,0.6
28956,GPD1L,18,14,4,8,0.571
7880,CNOT4,12,8,4,4,0.5
20482,WDFY2,10,6,4,3,0.5
16873,FIG4,8,4,4,2,0.5
5201,HS6ST1,8,4,4,2,0.5
26157,WDCP,6,2,4,1,0.5
17168,RAB3GAP2,15,11,4,5,0.455
220,ADAMTS4,13,9,4,4,0.444
