hgnc_id,hgnc_symbol,con,go_con,gene_con,rel_go,frac_rel_go
29013,CLEC16A,14,13,1,6,0.462
7162,MMP16,10,9,1,4,0.444
7760,NEU3,18,17,1,7,0.412
20730,ARMC9,6,5,1,2,0.4
25461,PUS3,6,5,1,2,0.4
11731,TESK1,14,13,1,5,0.385
2021,CLCN3,23,22,1,8,0.364
20273,EMC9,7,6,1,2,0.333
29370,ITPRIP,4,3,1,1,0.333
29134,DENND3,4,3,1,1,0.333
19178,CMTM7,4,3,1,1,0.333
23994,ERI1,8,7,1,2,0.286
25203,TMEM65,5,4,1,1,0.25
11980,TOB2,7,6,1,1,0.167
29944,TENM3,8,7,1,1,0.143
2000,CKS2,9,8,1,1,0.125
28404,DENND1B,10,9,1,1,0.111
30238,WLS,17,16,1,1,0.062
17313,IP6K2,17,16,1,0,0
21407,AKIRIN2,10,9,1,0,0
15807,ZNF335,14,13,1,0,0
13615,FBXL17,16,15,1,0,0
24868,IRGQ,2,1,1,0,0
16934,FEM1A,6,5,1,0,0
9590,PTER,4,3,1,0,0
26051,HPF1,9,8,1,0,0
31088,ALG10B,9,8,1,0,0
28658,AMMECR1L,2,1,1,0,0
28971,SPIDR,13,12,1,0,0
33482,MEX3A,4,3,1,0,0
16811,TUBD1,9,8,1,0,0
18469,ZDHHC2,14,13,1,0,0
19008,KLHL11,2,1,1,0,0
28458,PRR14,3,2,1,0,0
30220,RFT1,4,3,1,0,0
16157,ZSWIM3,2,1,1,0,0
25365,FAM172A,6,5,1,0,0
16992,LRRC8D,12,11,1,0,0
30926,DTWD1,4,3,1,0,0
15956,SLC2A13,11,10,1,0,0
23038,LMBRD1,9,8,1,0,0
25241,TCAIM,2,1,1,0,0
9768,RAB28,7,6,1,0,0
20498,DGLUCY,4,3,1,0,0
20278,NUBPL,8,7,1,0,0
27302,IBA57,6,5,1,0,0
28229,LLPH,7,6,1,0,0
13267,DEXI,2,1,1,0,0
28422,TSEN2,9,8,1,0,0
30483,PCMTD1,4,3,1,0,0
26004,LRRC40,7,6,1,0,0
27915,C1orf174,3,2,1,0,0
4837,HCCS,7,6,1,0,0
28295,CCDC32,2,1,1,0,0
25851,GINS3,5,4,1,0,0
26112,RTL10,5,4,1,0,0
13061,ZNF268,18,17,1,0,0
30060,NOMO1,3,2,1,0,0
28769,DRAM2,8,7,1,0,0
17808,ZC3H4,5,4,1,0,0
18536,HELQ,6,5,1,0,0
14163,FAM234A,3,2,1,0,0
21317,DYM,7,6,1,0,0
26558,HYLS1,10,9,1,0,0
24586,METTL9,2,1,1,0,0
23434,CCNJ,8,7,1,0,0
25559,RESF1,2,1,1,0,0
24351,PHRF1,2,1,1,0,0
32783,ZNF749,5,5,0,5,1
26944,TMEM138,2,2,0,2,1
28449,C11orf95,1,1,0,1,1
29036,SLC25A44,1,1,0,1,1
20874,ZNF440,6,6,0,5,0.833
24722,ZNF614,6,6,0,5,0.833
26479,ZNF778,6,6,0,5,0.833
12925,ZNF140,9,9,0,7,0.778
18832,ZNF394,4,4,0,3,0.75
13182,ZNRD1,4,4,0,3,0.75
13001,ZNF182,4,4,0,3,0.75
29297,ZNF530,4,4,0,3,0.75
24740,ZNF615,4,4,0,3,0.75
25292,ZNF700,4,4,0,3,0.75
25577,RAVER2,4,4,0,3,0.75
27309,DHFR2,11,11,0,8,0.727
19336,SHPRH,6,6,0,4,0.667
23715,ZBTB45,6,6,0,4,0.667
13160,ZNF85,6,6,0,4,0.667
26801,COX18,8,8,0,5,0.625
21629,ZNF461,5,5,0,3,0.6
12918,ZNF134,5,5,0,3,0.6
29014,ZBTB39,5,5,0,3,0.6
13024,ZNF230,5,5,0,3,0.6
28167,ZNF670,5,5,0,3,0.6
33104,ZIK1,5,5,0,3,0.6
13111,ZNF45,5,5,0,3,0.6
24737,ZNF569,5,5,0,3,0.6
26765,ZNF776,5,5,0,3,0.6
30227,SPPL2A,16,16,0,9,0.562
24285,RMDN1,4,4,0,2,0.5
25704,ZSWIM4,2,2,0,1,0.5
2937,DMXL1,2,2,0,1,0.5
25455,TSR2,2,2,0,1,0.5
11895,TNFAIP2,5,5,0,2,0.4
13841,ADGRG6,12,12,0,3,0.25
25104,AP5B1,4,4,0,1,0.25
28496,POGLUT3,5,5,0,1,0.2
25249,ZRANB3,13,13,0,2,0.154
25891,CBR4,14,14,0,1,0.071
3768,FMN1,4,4,0,0,0
28074,COX19,6,6,0,0,0
25225,ARRDC2,5,5,0,0,0
12385,PHLDA2,2,2,0,0,0
5393,IER5,11,11,0,0,0
13243,LMBR1,4,4,0,0,0
13505,ZNF304,17,17,0,0,0
25913,TMEM87B,4,4,0,0,0
26929,C15orf41,4,4,0,0,0
25589,SEPTIN11,10,10,0,0,0
11865,TM9SF2,3,3,0,0,0
16034,BIVM,2,2,0,0,0
20958,TMEM181,2,2,0,0,0
24892,CASC4,1,1,0,0,0
16014,CASD1,3,3,0,0,0
23377,FOCAD,2,2,0,0,0
27393,TMCO4,1,1,0,0,0
21239,CCDC167,1,1,0,0,0
24604,COA4,2,2,0,0,0
7526,MMUT,12,12,0,0,0
28073,ZFAND2A,1,1,0,0,0
15848,SEPTIN6,11,11,0,0,0
14349,SEPTIN10,9,9,0,0,0
25720,GPATCH3,8,8,0,0,0
17870,INVS,4,4,0,0,0
1632,CD164,7,7,0,0,0
50696,PIGBOS1,3,3,0,0,0
20792,SLC35A5,2,2,0,0,0
10806,SGCB,2,2,0,0,0
30449,PTAR1,2,2,0,0,0
28648,DIS3L2,14,14,0,0,0
20749,ZDHHC20,12,12,0,0,0
24227,CCPG1,5,5,0,0,0
26091,TRMT12,4,4,0,0,0
25545,IQCC,1,1,0,0,0
17840,CHCHD5,1,1,0,0,0
13169,ZNF93,7,7,0,0,0
28460,HROB,5,5,0,0,0
48955,UMAD1,1,1,0,0,0
28787,RILPL2,6,6,0,0,0
12974,RNF113A,11,11,0,0,0
25154,SMIM12,1,1,0,0,0
15991,LMLN,4,4,0,0,0
26877,CKAP2L,3,3,0,0,0
21302,KCTD11,2,2,0,0,0
24113,ATP13A3,2,2,0,0,0
28171,HDHD3,3,3,0,0,0
30103,C16orf72,1,1,0,0,0
28859,HILPDA,12,12,0,0,0
10752,SELENOW,2,2,0,0,0
23305,ZNF480,7,7,0,0,0
7469,MTRF1,2,2,0,0,0
18413,ZDHHC13,6,6,0,0,0
31412,SWI5,5,5,0,0,0
15892,PRELID3B,3,3,0,0,0
26115,EXO5,6,6,0,0,0
25087,FAM114A1,4,4,0,0,0
