Sample	total	unaligned	aligned	reads_total	retained	percent_aligned	discarded_m1	singleton_m1	discarded_m2	singleton_m2	full-length_cp	truncated_cp	aligned_total	unaligned_total	discarded_total	retained_reads
1-1.settings	27046806	22523214	4523592	27046806	27045413	16.725050639990542	1393	27045413	0	0	0	0	4523592	22523214	1393	0
1-3.settings	28681643	23823103	4858540	28681643	28679774	16.939545618080526	1869	28679774	0	0	0	0	4858540	23823103	1869	0
10-1.settings	30174822	25104309	5070513	30174822	30171944	16.803787608092602	2878	30171944	0	0	0	0	5070513	25104309	2878	0
10-3.settings	32069066	26703587	5365479	32069066	32067828	16.73101112455224	1238	32067828	0	0	0	0	5365479	26703587	1238	0
11-1.settings	27503858	22905158	4598700	27503858	27503310	16.72019976252059	548	27503310	0	0	0	0	4598700	22905158	548	0
11-3.settings	35978165	29915718	6062447	35978165	35977080	16.850350761357618	1085	35977080	0	0	0	0	6062447	29915718	1085	0
12-1.settings	26472392	22034596	4437796	26472392	26471426	16.76386478411169	966	26471426	0	0	0	0	4437796	22034596	966	0
12-3.settings	29938961	24911839	5027122	29938961	29938178	16.791237344542452	783	29938178	0	0	0	0	5027122	24911839	783	0
2-1.settings	27239624	22654848	4584776	27239624	27238855	16.83127491040258	769	27238855	0	0	0	0	4584776	22654848	769	0
2-3.settings	28367545	23586834	4780711	28367545	28365500	16.852748448975756	2045	28365500	0	0	0	0	4780711	23586834	2045	0
3-1.settings	27712827	23100968	4611859	27712827	27712044	16.641604265057477	783	27712044	0	0	0	0	4611859	23100968	783	0
3-3.settings	28612859	23746738	4866121	28612859	28610105	17.006762588806662	2754	28610105	0	0	0	0	4866121	23746738	2754	0
4-1.settings	25724295	21458837	4265458	25724295	25722932	16.581437897520612	1363	25722932	0	0	0	0	4265458	21458837	1363	0
4-3.settings	26223030	21809056	4413974	26223030	26218130	16.832433170384963	4900	26218130	0	0	0	0	4413974	21809056	4900	0
5-1.settings	29047846	24213052	4834794	29047846	29045592	16.644242743506695	2254	29045592	0	0	0	0	4834794	24213052	2254	0
5-3.settings	26207161	21791917	4415244	26207161	26205170	16.847471574658545	1991	26205170	0	0	0	0	4415244	21791917	1991	0
6-1.settings	29789998	24835045	4954953	29789998	29786719	16.632941700768157	3279	29786719	0	0	0	0	4954953	24835045	3279	0
6-3.settings	26290490	21938944	4351546	26290490	26286349	16.55178735732959	4141	26286349	0	0	0	0	4351546	21938944	4141	0
7-1.settings	40011529	33298052	6713477	40011529	40010261	16.77885641411004	1268	40010261	0	0	0	0	6713477	33298052	1268	0
7-3.settings	25930784	21534800	4395984	25930784	25929009	16.95276162880382	1775	25929009	0	0	0	0	4395984	21534800	1775	0
8-1.settings	29095274	24285068	4810206	29095274	29094731	16.53260251132194	543	29094731	0	0	0	0	4810206	24285068	543	0
8-3.settings	25773614	21431575	4342039	25773614	25772927	16.84683801037759	687	25772927	0	0	0	0	4342039	21431575	687	0
9-1.settings	24960502	20775607	4184895	24960502	24959365	16.766069047810017	1137	24959365	0	0	0	0	4184895	20775607	1137	0
9-3.settings	32547495	27072643	5474852	32547495	32546209	16.82111634090427	1286	32546209	0	0	0	0	5474852	27072643	1286	0
